😀	grinning	grinning,grinning_face
🙅	person_gesturing_no	person_gesturing_no,no_good
🙅🏻	person_gesturing_no_tone1	person_gesturing_no_tone1,no_good_tone1
🙅🏼	person_gesturing_no_tone2	person_gesturing_no_tone2,no_good_tone2
🙅🏽	person_gesturing_no_tone3	person_gesturing_no_tone3,no_good_tone3
🙅🏾	person_gesturing_no_tone4	person_gesturing_no_tone4,no_good_tone4
🙅🏿	person_gesturing_no_tone5	person_gesturing_no_tone5,no_good_tone5
🙅‍♂️	man_gesturing_no	man_gesturing_no
🙅🏻‍♂️	man_gesturing_no_tone1	man_gesturing_no_tone1,man_gesturing_no_light_skin_tone
🙅🏼‍♂️	man_gesturing_no_tone2	man_gesturing_no_tone2,man_gesturing_no_medium_light_skin_tone
🙅🏽‍♂️	man_gesturing_no_tone3	man_gesturing_no_tone3,man_gesturing_no_medium_skin_tone
🙅🏾‍♂️	man_gesturing_no_tone4	man_gesturing_no_tone4,man_gesturing_no_medium_dark_skin_tone
🙅🏿‍♂️	man_gesturing_no_tone5	man_gesturing_no_tone5,man_gesturing_no_dark_skin_tone
🙅‍♀️	woman_gesturing_no	woman_gesturing_no
🙅🏻‍♀️	woman_gesturing_no_tone1	woman_gesturing_no_tone1,woman_gesturing_no_light_skin_tone
🙅🏼‍♀️	woman_gesturing_no_tone2	woman_gesturing_no_tone2,woman_gesturing_no_medium_light_skin_tone
🙅🏽‍♀️	woman_gesturing_no_tone3	woman_gesturing_no_tone3,woman_gesturing_no_medium_skin_tone
🙅🏾‍♀️	woman_gesturing_no_tone4	woman_gesturing_no_tone4,woman_gesturing_no_medium_dark_skin_tone
🙅🏿‍♀️	woman_gesturing_no_tone5	woman_gesturing_no_tone5,woman_gesturing_no_dark_skin_tone
🙆	person_gesturing_ok	person_gesturing_ok
🙆🏻	person_gesturing_ok_tone1	person_gesturing_ok_tone1
🙆🏼	person_gesturing_ok_tone2	person_gesturing_ok_tone2
🙆🏽	person_gesturing_ok_tone3	person_gesturing_ok_tone3
🙆🏾	person_gesturing_ok_tone4	person_gesturing_ok_tone4
🙆🏿	person_gesturing_ok_tone5	person_gesturing_ok_tone5
🙆‍♂️	man_gesturing_ok	man_gesturing_ok
🙆🏻‍♂️	man_gesturing_ok_tone1	man_gesturing_ok_tone1,man_gesturing_ok_light_skin_tone
🙆🏼‍♂️	man_gesturing_ok_tone2	man_gesturing_ok_tone2,man_gesturing_ok_medium_light_skin_tone
🙆🏽‍♂️	man_gesturing_ok_tone3	man_gesturing_ok_tone3,man_gesturing_ok_medium_skin_tone
🙆🏾‍♂️	man_gesturing_ok_tone4	man_gesturing_ok_tone4,man_gesturing_ok_medium_dark_skin_tone
🙆🏿‍♂️	man_gesturing_ok_tone5	man_gesturing_ok_tone5,man_gesturing_ok_dark_skin_tone
🙆‍♀️	woman_gesturing_ok	woman_gesturing_ok
🙆🏻‍♀️	woman_gesturing_ok_tone1	woman_gesturing_ok_tone1,woman_gesturing_ok_light_skin_tone
🙆🏼‍♀️	woman_gesturing_ok_tone2	woman_gesturing_ok_tone2,woman_gesturing_ok_medium_light_skin_tone
🙆🏽‍♀️	woman_gesturing_ok_tone3	woman_gesturing_ok_tone3,woman_gesturing_ok_medium_skin_tone
🙆🏾‍♀️	woman_gesturing_ok_tone4	woman_gesturing_ok_tone4,woman_gesturing_ok_medium_dark_skin_tone
🙆🏿‍♀️	woman_gesturing_ok_tone5	woman_gesturing_ok_tone5,woman_gesturing_ok_dark_skin_tone
💁	person_tipping_hand	person_tipping_hand,information_desk_person
💁🏻	person_tipping_hand_tone1	person_tipping_hand_tone1,information_desk_person_tone1
💁🏼	person_tipping_hand_tone2	person_tipping_hand_tone2,information_desk_person_tone2
💁🏽	person_tipping_hand_tone3	person_tipping_hand_tone3,information_desk_person_tone3
💁🏾	person_tipping_hand_tone4	person_tipping_hand_tone4,information_desk_person_tone4
💁🏿	person_tipping_hand_tone5	person_tipping_hand_tone5,information_desk_person_tone5
💁‍♂️	man_tipping_hand	man_tipping_hand
💁🏻‍♂️	man_tipping_hand_tone1	man_tipping_hand_tone1,man_tipping_hand_light_skin_tone
💁🏼‍♂️	man_tipping_hand_tone2	man_tipping_hand_tone2,man_tipping_hand_medium_light_skin_tone
💁🏽‍♂️	man_tipping_hand_tone3	man_tipping_hand_tone3,man_tipping_hand_medium_skin_tone
💁🏾‍♂️	man_tipping_hand_tone4	man_tipping_hand_tone4,man_tipping_hand_medium_dark_skin_tone
💁🏿‍♂️	man_tipping_hand_tone5	man_tipping_hand_tone5,man_tipping_hand_dark_skin_tone
💁‍♀️	woman_tipping_hand	woman_tipping_hand
💁🏻‍♀️	woman_tipping_hand_tone1	woman_tipping_hand_tone1,woman_tipping_hand_light_skin_tone
💁🏼‍♀️	woman_tipping_hand_tone2	woman_tipping_hand_tone2,woman_tipping_hand_medium_light_skin_tone
💁🏽‍♀️	woman_tipping_hand_tone3	woman_tipping_hand_tone3,woman_tipping_hand_medium_skin_tone
